,rank,country_full,confederation,total_points,nota_ranking,titulos,nota_titulos,pontos_campanha,nota_campanha,nota_aproveitamento,nota_gols_marcados,nota_gols_sofridos,pontuacao_final
1,1.0,Argentina,CONMEBOL,1860.14,100.0,3.0,60.0,2.0,57.14285714285714,100.0,79.43404634581105,100.0,88.65823784059079
2,2.0,France,UEFA,1837.47,99.05660377358491,2.0,40.0,3.5,100.0,85.31073446327684,79.94652406417111,57.846715328467155,86.50005032500084
3,5.0,England,UEFA,1787.88,96.22641509433963,1.0,20.0,0.5,14.285714285714285,89.0517636280348,81.77482295129353,83.67034918129809,76.3994472700064
4,12.0,Morocco,CAF,1669.44,89.62264150943396,0.0,0.0,0.5,14.285714285714285,96.49191959006701,74.2258425568959,97.89085044983875,76.0631230001848
5,17.0,Japan,AFC,1628.81,84.90566037735849,0.0,0.0,0.0,0.0,90.78850405305822,100.0,78.28467153284672,74.35800650896661
6,9.0,Croatia,UEFA,1728.3,92.45283018867924,0.0,0.0,2.5,71.42857142857143,74.9636803874092,63.781512605042025,48.941605839416056,72.81756987090552
7,8.0,Spain,UEFA,1729.92,93.39622641509435,1.0,20.0,0.0,0.0,89.7144183886696,85.92777085927771,66.52584741525848,72.78086882651095
8,6.0,Portugal,UEFA,1747.04,95.28301886792453,0.0,0.0,0.0,0.0,86.51229410360469,87.82857573246969,64.46746170453378,72.23207287822417
9,3.0,Belgium,UEFA,1797.98,98.11320754716981,0.0,0.0,1.0,28.57142857142857,76.57028913260218,78.68040264234035,55.74280807213397,71.99491683360817
10,4.0,Brazil,CONMEBOL,1791.85,97.16981132075472,5.0,100.0,0.0,0.0,80.74879838097647,71.04317982281107,65.47281838980281,69.98645443920014
11,7.0,Netherlands,UEFA,1746.66,94.33962264150944,0.0,0.0,0.0,0.0,83.09927360774819,90.13750954927427,45.00000000000001,69.60501116107693
12,16.0,Germany,UEFA,1646.78,85.84905660377359,4.0,80.0,0.0,0.0,77.81871775976418,87.70053475935828,36.9644557283402,66.24866442526324
13,18.0,Senegal,CAF,1623.34,83.9622641509434,0.0,0.0,0.0,0.0,86.31665977676727,66.14712403808531,74.54602100765534,65.7961697710968
14,44.0,Algeria,CAF,1474.13,59.43396226415094,0.0,0.0,0.0,0.0,90.78131459280695,82.79640015651493,71.18123553498309,63.327715190251865
15,12.0,Colombia,CONMEBOL,1669.44,89.62264150943396,0.0,0.0,0.0,0.0,76.05011053795137,60.962566844919785,64.95556966042525,62.65921228244101
16,23.0,Australia,AFC,1571.29,79.24528301886792,0.0,0.0,0.0,0.0,80.04373974849645,65.46489563567363,71.3621379797504,62.436791674813186
17,15.0,Mexico,CONCACAF,1652.33,86.79245283018868,0.0,0.0,0.0,0.0,73.45729800888596,53.37729089870723,61.91446389341648,59.399764315544395
18,25.0,Austria,UEFA,1560.03,77.35849056603774,0.0,0.0,0.0,0.0,73.72881355932203,69.76102941176471,41.87956204379562,58.196446064986425
19,14.0,Uruguay,CONMEBOL,1663.44,87.73584905660378,2.0,40.0,0.0,0.0,66.1775866430559,47.36211988187405,69.59091404292407,58.126367153144784
20,46.0,Norway,UEFA,1466.48,57.54716981132076,0.0,0.0,0.0,0.0,79.2149866190901,83.50689558119898,50.85478294275836,57.92048978053567
21,36.0,Egypt,CAF,1502.34,66.98113207547169,0.0,0.0,0.0,0.0,79.79139504563234,56.766762649115584,75.92644581695677,57.77666548376057
22,19.0,Switzerland,UEFA,1617.24,83.01886792452831,0.0,0.0,0.0,0.0,69.32442110288851,68.08013858552384,33.37873959082964,57.393345502561395
23,28.0,Sweden,UEFA,1522.19,74.52830188679245,0.0,0.0,0.0,0.0,71.1864406779661,66.8783422459893,21.760948905109483,54.18287942541395
24,48.0,Canada,CONCACAF,1461.74,55.660377358490564,0.0,0.0,0.0,0.0,73.11735679038833,68.6590401407974,59.26961101358219,53.69758378181112
