rank,country_full,confederation,total_points
1.0,Argentina,CONMEBOL,1860.14
2.0,France,UEFA,1837.47
3.0,Belgium,UEFA,1797.98
4.0,Brazil,CONMEBOL,1791.85
5.0,England,UEFA,1787.88
6.0,Portugal,UEFA,1747.04
7.0,Netherlands,UEFA,1746.66
8.0,Spain,UEFA,1729.92
9.0,Croatia,UEFA,1728.3
10.0,Italy,UEFA,1724.37
11.0,USA,CONCACAF,1676.52
12.0,Colombia,CONMEBOL,1669.44
12.0,Morocco,CAF,1669.44
14.0,Uruguay,CONMEBOL,1663.44
15.0,Mexico,CONCACAF,1652.33
16.0,Germany,UEFA,1646.78
17.0,Japan,AFC,1628.81
18.0,Senegal,CAF,1623.34
19.0,Switzerland,UEFA,1617.24
20.0,IR Iran,AFC,1611.16
21.0,Denmark,UEFA,1610.76
22.0,Korea Republic,AFC,1572.87
23.0,Australia,AFC,1571.29
24.0,Ukraine,UEFA,1565.37
25.0,Austria,UEFA,1560.03
26.0,Poland,UEFA,1541.49
27.0,Hungary,UEFA,1529.0
28.0,Sweden,UEFA,1522.19
29.0,Wales,UEFA,1521.4
30.0,Ecuador,CONMEBOL,1517.54
31.0,Peru,CONMEBOL,1515.01
32.0,Serbia,UEFA,1514.76
33.0,Russia,UEFA,1506.58
34.0,Czechia,UEFA,1506.23
35.0,Qatar,AFC,1504.06
36.0,Egypt,CAF,1502.34
37.0,Côte d'Ivoire,CAF,1499.69
38.0,Nigeria,CAF,1498.93
39.0,Scotland,UEFA,1497.18
40.0,Chile,CONMEBOL,1496.13
41.0,Tunisia,CAF,1494.06
42.0,Turkey,UEFA,1493.38
43.0,Panama,CONCACAF,1482.1
44.0,Algeria,CAF,1474.13
45.0,Slovakia,UEFA,1467.77
46.0,Norway,UEFA,1466.48
47.0,Romania,UEFA,1462.35
48.0,Canada,CONCACAF,1461.74
49.0,Cameroon,CAF,1458.47
50.0,Mali,CAF,1456.74
51.0,Greece,UEFA,1455.95
52.0,Costa Rica,CONCACAF,1454.2
53.0,Jamaica,CONCACAF,1442.82
54.0,Venezuela,CONMEBOL,1442.29
55.0,Iraq,AFC,1433.07
56.0,Saudi Arabia,AFC,1431.3
57.0,Slovenia,UEFA,1429.74
58.0,Paraguay,CONMEBOL,1427.11
59.0,South Africa,CAF,1416.66
60.0,Republic of Ireland,UEFA,1403.84
61.0,Congo DR,CAF,1400.93
62.0,Uzbekistan,AFC,1397.41
63.0,Finland,UEFA,1393.4
64.0,Ghana,CAF,1381.25
65.0,Cabo Verde,CAF,1380.53
66.0,Albania,UEFA,1379.4
67.0,Burkina Faso,CAF,1375.16
68.0,Jordan,AFC,1374.13
69.0,United Arab Emirates,AFC,1368.84
70.0,Iceland,UEFA,1353.48
71.0,North Macedonia,UEFA,1348.63
72.0,Montenegro,UEFA,1345.02
73.0,Northern Ireland,UEFA,1341.33
74.0,Georgia,UEFA,1338.91
75.0,Bosnia and Herzegovina,UEFA,1332.3
76.0,Oman,AFC,1326.18
77.0,Guinea,CAF,1324.8
78.0,Honduras,CONCACAF,1313.05
79.0,Israel,UEFA,1312.54
80.0,El Salvador,CONCACAF,1303.65
81.0,Bahrain,AFC,1302.86
82.0,Bulgaria,UEFA,1295.5
83.0,Gabon,CAF,1288.45
84.0,Bolivia,CONMEBOL,1282.43
85.0,Luxembourg,UEFA,1276.73
86.0,Haiti,CONCACAF,1274.46
87.0,Curacao,CONCACAF,1272.71
