rank,country_full,confederation,total_points
1.0,Argentina,CONMEBOL,1860.14
2.0,France,UEFA,1837.47
3.0,Belgium,UEFA,1797.98
4.0,Brazil,CONMEBOL,1791.85
5.0,England,UEFA,1787.88
6.0,Portugal,UEFA,1747.04
7.0,Netherlands,UEFA,1746.66
8.0,Spain,UEFA,1729.92
9.0,Croatia,UEFA,1728.3
11.0,USA,CONCACAF,1676.52
12.0,Colombia,CONMEBOL,1669.44
12.0,Morocco,CAF,1669.44
14.0,Uruguay,CONMEBOL,1663.44
15.0,Mexico,CONCACAF,1652.33
16.0,Germany,UEFA,1646.78
17.0,Japan,AFC,1628.81
18.0,Senegal,CAF,1623.34
19.0,Switzerland,UEFA,1617.24
20.0,IR Iran,AFC,1611.16
22.0,Korea Republic,AFC,1572.87
23.0,Australia,AFC,1571.29
25.0,Austria,UEFA,1560.03
28.0,Sweden,UEFA,1522.19
30.0,Ecuador,CONMEBOL,1517.54
34.0,Czechia,UEFA,1506.23
35.0,Qatar,AFC,1504.06
36.0,Egypt,CAF,1502.34
37.0,Côte d'Ivoire,CAF,1499.69
39.0,Scotland,UEFA,1497.18
41.0,Tunisia,CAF,1494.06
42.0,Turkey,UEFA,1493.38
43.0,Panama,CONCACAF,1482.1
44.0,Algeria,CAF,1474.13
46.0,Norway,UEFA,1466.48
48.0,Canada,CONCACAF,1461.74
55.0,Iraq,AFC,1433.07
56.0,Saudi Arabia,AFC,1431.3
58.0,Paraguay,CONMEBOL,1427.11
59.0,South Africa,CAF,1416.66
61.0,Congo DR,CAF,1400.93
62.0,Uzbekistan,AFC,1397.41
64.0,Ghana,CAF,1381.25
65.0,Cabo Verde,CAF,1380.53
68.0,Jordan,AFC,1374.13
75.0,Bosnia and Herzegovina,UEFA,1332.3
86.0,Haiti,CONCACAF,1274.46
87.0,Curacao,CONCACAF,1272.71
107.0,New Zealand,OFC,1197.68
